DATA_ESTRAZIONE;ID_PRODOTTO;CANTINA;NOME_PRODOTTO;SITO_ORIGINE;PREZZO_RILEVATO;PREZZO_SCONTATO;STOCKOUT;LINK_SCRAPING
14/03/2026;MA-ROMA-RS-01;Masi Agricola;Rosa dei Masi 2024 - Rosato TreVenezie IGT;Tannico;13.5;;NO;https://www.tannico.it/products/trevenezie-rosato-igt-rosa-dei-masi-2024-masi?_pos=10&_sid=7000bb9a7&_ss=r
14/03/2026;MA-ROMA-RS-01;Masi Agricola;Rosa dei Masi 2024 - Rosato TreVenezie IGT;Vino.com;13.6;;NO;https://www.vino.com/dettaglio/trevenezie-igt-rosa-dei-masi-masi-2024.html
14/03/2026;MA-ROMA-RS-01;Masi Agricola;Rosa dei Masi 2024 - Rosato TreVenezie IGT;Xtrawine;15.5;;NO;https://www.xtrawine.com/products/masi-rosa-dei-masi-rosato-2024
14/03/2026;AG-PATO-ROVE-CF-01;Allegrini;Palazzo della Torre - Veronese IGT;Tannico;19.9;;NO;https://www.tannico.it/products/veronese-igt-palazzo-della-torre-2022-allegrini?_pos=1&_sid=31d10b911&_ss=r
14/03/2026;AG-PATO-ROVE-CF-01;Allegrini;Palazzo della Torre - Veronese IGT;Vino.com;19.9;;NO;https://www.vino.com/dettaglio/veronese-igt-palazzo-della-torre-allegrini-2023.html
14/03/2026;AG-PATO-ROVE-CF-01;Allegrini;Palazzo della Torre - Veronese IGT;Xtrawine;20.0;;NO;https://www.xtrawine.com/products/allegrini-palazzo-della-torre-2022
14/03/2026;AG-PATO-ROVE-CF-01;Allegrini;Palazzo della Torre - Veronese IGT;Callmewine;19.4;;NO;https://www.callmewine.com/palazzo-torre-allegrini-2022-P59185.htm
14/03/2026;AG-PATO-ROVE-CF-01;Allegrini;Palazzo della Torre - Veronese IGT;Bernabei;17.5;17.5;NO;https://www.bernabei.it/palazzo-della-torre-allegrini
14/03/2026;AG-AMAR-VP-01;Allegrini;Amarone della Valpolicella Classico DOCG;Tannico;80.0;;NO;https://www.tannico.it/products/amarone-della-valpolicella-classico-docg-2021-allegrini?_pos=9&_sid=31d10b911&_ss=r
14/03/2026;AG-AMAR-VP-01;Allegrini;Amarone della Valpolicella Classico DOCG;Vino.com;70.9;;NO;https://www.vino.com/dettaglio/amarone-della-valpolicella-classico-docg-allegrini-2021.html
